countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Aitkin,10,1,10,NA,NA,NA,NA
Anoka,274,0,0,NA,NA,NA,NA
Becker,24,0,0,NA,NA,NA,NA
Beltrami,18,1,5.555555555555555,NA,NA,NA,NA
Benton,40,0,0,NA,NA,NA,NA
Big stone,4,0,0,NA,NA,NA,NA
Blue earth,81,1,1.2345679012345678,NA,NA,NA,NA
Brown,13,0,0,NA,NA,NA,NA
Carlton,21,0,0,NA,NA,NA,NA
Carver,71,0,0,NA,NA,NA,NA
Cass,21,0,0,NA,NA,NA,NA
Chippewa,9,1,11.11111111111111,NA,NA,NA,NA
Chisago,45,0,0,NA,NA,NA,NA
Clay,32,0,0,NA,NA,NA,NA
Clearwater,1,0,0,NA,NA,NA,NA
Cook,2,0,0,NA,NA,NA,NA
Cottonwood,4,0,0,NA,NA,NA,NA
Crow wing,58,0,0,NA,NA,NA,NA
Dakota,465,0,0,NA,NA,NA,NA
Dodge,7,0,0,NA,NA,NA,NA
Douglas,25,0,0,NA,NA,NA,NA
Faribault,8,0,0,NA,NA,NA,NA
Fillmore,14,1,7.142857142857143,NA,NA,NA,NA
Freeborn,25,0,0,NA,NA,NA,NA
Goodhue,47,0,0,NA,NA,NA,NA
Grant,4,0,0,NA,NA,NA,NA
Hennepin,NA,0,NA,NA,NA,NA,NA
Houston,10,0,0,NA,NA,NA,NA
Hubbard,15,1,6.666666666666667,NA,NA,NA,NA
Isanti,27,1,3.7037037037037037,NA,NA,NA,NA
Itasca,30,1,3.3333333333333335,NA,NA,NA,NA
Jackson,12,1,8.333333333333334,NA,NA,NA,NA
Kanabec,7,0,0,NA,NA,NA,NA
Kandiyohi,43,0,0,NA,NA,NA,NA
Kittson,0,0,NaN,NA,NA,NA,NA
Koochiching,4,0,0,NA,NA,NA,NA
Lac qui parle,3,0,0,NA,NA,NA,NA
Lake,5,0,0,NA,NA,NA,NA
Lake of woods,1,0,0,NA,NA,NA,NA
Le sueur,14,0,0,NA,NA,NA,NA
Lincoln,3,0,0,NA,NA,NA,NA
Lyon,16,1,6.25,NA,NA,NA,NA
Mahnomen,2,0,0,NA,NA,NA,NA
Marshall,2,0,0,NA,NA,NA,NA
Martin,14,0,0,NA,NA,NA,NA
Mcleod,33,0,0,NA,NA,NA,NA
Meeker,18,1,5.555555555555555,NA,NA,NA,NA
Mille lacs,15,0,0,NA,NA,NA,NA
Morrison,13,0,0,NA,NA,NA,NA
Mower,30,1,3.3333333333333335,NA,NA,NA,NA
Murray,3,0,0,NA,NA,NA,NA
Nicollet,23,1,4.3478260869565215,NA,NA,NA,NA
Nobles,20,0,0,NA,NA,NA,NA
Norman,3,0,0,NA,NA,NA,NA
Olmsted,154,1,0.6493506493506493,NA,NA,NA,NA
Otter tail,38,1,2.6315789473684212,NA,NA,NA,NA
Pennington,3,0,0,NA,NA,NA,NA
Pine,24,0,0,NA,NA,NA,NA
Pipestone,5,0,0,NA,NA,NA,NA
Polk,18,0,0,NA,NA,NA,NA
Pope,5,0,0,NA,NA,NA,NA
Ramsey,713,1,0.1402524544179523,NA,NA,NA,NA
Red lake,1,0,0,NA,NA,NA,NA
Redwood,6,0,0,NA,NA,NA,NA
Renville,10,1,10,NA,NA,NA,NA
Rice,60,0,0,NA,NA,NA,NA
Rock,9,0,0,NA,NA,NA,NA
Roseau,2,0,0,NA,NA,NA,NA
Scott,96,0,0,NA,NA,NA,NA
Sherburne,69,0,0,NA,NA,NA,NA
Sibley,8,0,0,NA,NA,NA,NA
St. louis,187,1,0.5347593582887701,NA,NA,NA,NA
Stearns,216,1,0.46296296296296297,NA,NA,NA,NA
Steele,32,0,0,NA,NA,NA,NA
Stevens,2,1,50,NA,NA,NA,NA
Swift,4,0,0,NA,NA,NA,NA
Todd,16,0,0,NA,NA,NA,NA
Traverse,2,0,0,NA,NA,NA,NA
Wabasha,12,1,8.333333333333334,NA,NA,NA,NA
Wadena,9,1,11.11111111111111,NA,NA,NA,NA
Waseca,9,0,0,NA,NA,NA,NA
Washington,177,2,1.1299435028248588,NA,NA,NA,NA
Watonwan,4,0,0,NA,NA,NA,NA
Wilkin,6,0,0,NA,NA,NA,NA
Winona,14,0,0,NA,NA,NA,NA
Wright,119,0,0,NA,NA,NA,NA
Yellow medicine,3,0,0,NA,NA,NA,NA
