countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Adams,26,1,3.8461538461538463,23,2,8.695652173913043,126.0869565217391
Ashland,30,0,0,29,0,0,NA
Barron,42,0,0,39,0,0,NA
Bayfield,20,0,0,16,0,0,NA
Brown,294,0,0,189,0,0,NA
Buffalo,33,0,0,20,0,0,NA
Burnett,22,1,4.545454545454546,17,0,0,NA
Calumet,55,1,1.8181818181818181,40,0,0,NA
Chippewa,100,0,0,84,1,1.1904761904761905,NA
Clark,42,1,2.380952380952381,31,0,0,NA
Columbia,88,1,1.1363636363636365,95,0,0,NA
Crawford,27,1,3.7037037037037037,16,0,0,NA
Dane,978,0,0,487,0,0,NA
Dodge,135,3,2.2222222222222223,96,1,1.0416666666666667,-53.125
Door,47,1,2.127659574468085,38,1,2.6315789473684212,23.684210526315802
Douglas,56,0,0,41,0,0,NA
Dunn,78,2,2.5641025641025643,45,0,0,-99.99999999999999
Eau claire,224,0,0,131,1,0.7633587786259542,NA
Florence,6,0,0,3,0,0,NA
Fond du lac,217,0,0,123,0,0,NA
Forest,8,0,0,10,0,0,NA
Grant,108,1,0.9259259259259259,89,2,2.247191011235955,142.69662921348313
Green,58,0,0,38,1,2.6315789473684212,NA
Green lake,33,0,0,27,0,0,NA
Iowa,36,1,2.7777777777777777,30,1,3.3333333333333335,20.00000000000001
Iron,7,0,0,3,0,0,NA
Jackson,48,0,0,45,0,0,NA
Jefferson,143,0,0,141,1,0.7092198581560284,NA
Juneau,69,0,0,54,0,0,NA
Kenosha,342,0,0,239,0,0,NA
Kewaunee,35,1,2.857142857142857,23,0,0,NA
La crosse,284,0,0,149,1,0.6711409395973155,NA
Lafayette,44,0,0,33,0,0,NA
Langlade,32,0,0,26,0,0,NA
Lincoln,58,0,0,46,1,2.1739130434782608,NA
Manitowoc,169,2,1.183431952662722,115,0,0,NA
Marathon,237,1,0.4219409282700422,156,1,0.6410256410256411,51.92307692307693
Marinette,88,2,2.272727272727273,66,0,0,NA
Marquette,40,0,0,20,0,0,NA
Menominee,4,0,0,8,1,12.5,NA
Milwaukee,2327,2,0.08594757198109153,1776,4,0.22522522522522523,162.0495495495496
Monroe,115,1,0.8695652173913043,96,0,0,NA
Oconto,63,1,1.5873015873015872,33,1,3.0303030303030303,90.9090909090909
Oneida,48,0,0,45,0,0,NA
Outagamie,322,3,0.9316770186335404,215,1,0.46511627906976744,-50.07751937984496
Ozaukee,148,1,0.6756756756756757,91,1,1.098901098901099,62.637362637362656
Pepin,6,0,0,5,0,0,NA
Pierce,35,0,0,43,1,2.3255813953488373,NA
Polk,34,0,0,34,1,2.9411764705882355,NA
Portage,114,0,0,83,0,0,NA
Price,13,0,0,10,0,0,NA
Racine,434,1,0.2304147465437788,333,3,0.9009009009009009,290.99099099099095
Richland,39,0,0,27,1,3.7037037037037037,NA
Rock,315,2,0.6349206349206349,263,2,0.7604562737642585,19.77186311787072
Rusk,10,1,10,9,1,11.11111111111111,11.111111111111107
Sauk,159,1,0.6289308176100629,93,0,0,NA
Sawyer,25,0,0,18,1,5.555555555555555,NA
Shawano,98,0,0,83,1,1.2048192771084338,NA
Sheboygan,207,2,0.966183574879227,192,1,0.5208333333333334,-46.09374999999999
St. croix,202,0,0,153,0,0,NA
Taylor,28,0,0,18,0,0,NA
Trempealeau,46,0,0,36,0,0,NA
Vernon,70,0,0,38,0,0,NA
Vilas,26,1,3.8461538461538463,20,0,0,NA
Walworth,186,1,0.5376344086021505,154,0,0,NA
Washburn,26,1,3.8461538461538463,25,1,4,3.9999999999999973
Washington,266,1,0.37593984962406013,196,0,0,NA
Waukesha,704,1,0.14204545454545456,396,2,0.5050505050505051,255.55555555555554
Waupaca,100,0,0,55,2,3.6363636363636362,NA
Waushara,37,1,2.7027027027027026,46,1,2.1739130434782608,-19.56521739130435
Winnebago,275,1,0.36363636363636365,218,0,0,NA
Wood,96,0,0,70,2,2.857142857142857,NA
