countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Apache,27,2,7.407407407407407,NA,NA,NA,Null
Cochise,83,9,10.843373493975903,NA,NA,NA,Null
Coconino,331,62,18.731117824773413,NA,NA,NA,Null
Gila,62,3,4.838709677419355,NA,NA,NA,Null
Graham,40,9,22.5,NA,NA,NA,Null
Greenlee,12,1,8.333333333333334,NA,NA,NA,Null
La paz,29,5,17.24137931034483,NA,NA,NA,Null
Maricopa,7512,2987,39.76304579339723,NA,NA,NA,Null
Mohave,274,46,16.78832116788321,NA,NA,NA,Null
Navajo,109,11,10.091743119266056,NA,NA,NA,Null
Pima,797,149,18.695106649937266,NA,NA,NA,Null
Pinal,360,33,9.166666666666666,NA,NA,NA,Null
Santa cruz,34,3,8.823529411764707,NA,NA,NA,Null
Yavapai,308,38,12.337662337662337,NA,NA,NA,Null
Yuma,190,5,2.6315789473684212,NA,NA,NA,Null
