countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Allen,20,0,0,10,0,0,Null
Anderson,18,0,0,4,0,0,Null
Atchison,31,0,0,6,0,0,Null
Barber,5,0,0,NA,NA,NA,Null
Barton,74,0,0,41,0,0,Null
Bourbon,31,0,0,2,1,50,Null
Brown,23,0,0,6,0,0,Null
Butler,129,0,0,31,1,3.225806451612903,Null
Chase,16,1,6.25,7,0,0,Null
Chautauqua,5,0,0,NA,NA,NA,Null
Cherokee,34,0,0,4,0,0,Null
Clark,5,0,0,1,0,0,Null
Clay,18,0,0,4,0,0,Null
Cloud,16,0,0,9,0,0,Null
Coffey,36,0,0,21,1,4.761904761904762,Null
Comanche,4,0,0,1,0,0,Null
Cowley,62,0,0,19,0,0,Null
Crawford,66,0,0,9,0,0,Null
Decatur,4,1,25,NA,NA,NA,Null
Dickinson,13,0,0,1,0,0,Null
Doniphan,9,0,0,NA,NA,NA,Null
Douglas,253,1,0.3952569169960474,131,0,0,Null
Edwards,5,0,0,2,0,0,Null
Elk,12,0,0,NA,NA,NA,Null
Ellis,50,0,0,5,0,0,Null
Ellsworth,26,0,0,8,0,0,Null
Finney,73,0,0,21,0,0,Null
Ford,65,0,0,22,0,0,Null
Franklin,39,3,7.6923076923076925,6,0,0,Null
Geary,46,0,0,5,0,0,Null
Gove,11,0,0,6,0,0,Null
Graham,4,0,0,1,0,0,Null
Grant,10,0,0,NA,NA,NA,Null
Gray,9,0,0,4,0,0,Null
Greeley,3,0,0,NA,NA,NA,Null
Greenwood,12,0,0,2,1,50,Null
Hamilton,7,1,14.285714285714286,NA,NA,NA,Null
Harper,12,0,0,11,0,0,Null
Harvey,53,0,0,4,0,0,Null
Haskell,4,0,0,1,0,0,Null
Hodgeman,7,0,0,NA,NA,NA,Null
Jackson,25,0,0,1,0,0,Null
Jefferson,33,0,0,20,1,5,Null
Jewell,6,0,0,8,0,0,Null
Johnson,1029,3,0.2915451895043732,125,0,0,Null
Kearny,7,0,0,7,1,14.285714285714286,Null
Kingman,29,0,0,26,0,0,Null
Kiowa,8,0,0,1,0,0,Null
Labette,38,2,5.2631578947368425,24,0,0,Null
Lane,4,0,0,NA,NA,NA,Null
Leavenworth,112,1,0.8928571428571429,20,0,0,Null
Lincoln,13,0,0,8,0,0,Null
Linn,24,0,0,18,0,0,Null
Logan,5,0,0,1,0,0,Null
Lyon,86,1,1.1627906976744187,32,0,0,Null
Marion,27,0,0,2,0,0,Null
Marshall,13,0,0,5,0,0,Null
Mcpherson,45,0,0,29,0,0,Null
Meade,2,1,50,NA,NA,NA,Null
Miami,62,1,1.6129032258064515,3,1,33.333333333333336,1966.66666666667
Mitchell,16,0,0,2,0,0,Null
Montgomery,55,1,1.8181818181818181,24,0,0,Null
Morris,20,0,0,7,0,0,Null
Morton,4,0,0,NA,NA,NA,Null
Nemaha,29,1,3.4482758620689653,2,0,0,Null
Neosho,26,0,0,2,0,0,Null
Ness,2,0,0,NA,NA,NA,Null
Norton,11,0,0,1,0,0,Null
Osage,11,0,0,4,0,0,Null
Osborne,8,0,0,NA,NA,NA,Null
Ottawa,15,1,6.666666666666667,NA,NA,NA,Null
Pawnee,15,0,0,13,0,0,Null
Phillips,5,0,0,3,1,33.333333333333336,Null
Pottawatomie,43,0,0,3,0,0,Null
Pratt,18,0,0,NA,NA,NA,Null
Reno,88,1,1.1363636363636365,8,0,0,Null
Republic,9,0,0,3,0,0,Null
Rice,22,0,0,14,0,0,Null
Riley,124,1,0.8064516129032258,73,0,0,Null
Rooks,6,0,0,NA,NA,NA,Null
Rush,8,0,0,8,0,0,Null
Russell,22,0,0,7,0,0,Null
Saline,130,1,0.7692307692307693,6,0,0,-100
Scott,6,0,0,1,0,0,Null
Sedgwick,969,4,0.41279669762641896,522,4,0.7662835249042146,85.632183908046
Seward,32,0,0,24,0,0,Null
Shawnee,419,3,0.7159904534606205,149,1,0.6711409395973155,-6.26398210290827
Sheridan,5,0,0,1,1,100,Null
Sherman,12,0,0,2,0,0,Null
Smith,7,0,0,3,0,0,Null
Stafford,14,0,0,1,0,0,Null
Stevens,4,1,25,2,0,0,Null
Sumner,72,0,0,36,1,2.7777777777777777,Null
Thomas,19,0,0,11,0,0,Null
Trego,8,0,0,3,0,0,Null
Wabaunsee,26,0,0,8,0,0,Null
Wallace,1,0,0,NA,NA,NA,Null
Washington,11,0,0,6,0,0,Null
Wichita,4,0,0,NA,NA,NA,Null
Wilson,15,0,0,1,0,0,Null
Woodson,8,0,0,2,0,0,Null
Wyandotte,352,2,0.5681818181818182,85,0,0,Null
