countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Allegany,37,0,0,NA,NA,NA,Null
Anne arundel,966,4,0.4140786749482402,NA,NA,NA,Null
Baltimore,1945,2,0.10282776349614396,NA,NA,NA,Null
Baltimore city,1634,0,0,NA,NA,NA,Null
Calvert,108,0,0,NA,NA,NA,Null
Caroline,49,0,0,NA,NA,NA,Null
Carroll,169,0,0,NA,NA,NA,Null
Cecil,147,3,2.0408163265306123,NA,NA,NA,Null
Charles,250,1,0.4,NA,NA,NA,Null
Dorchester,42,0,0,NA,NA,NA,Null
Frederick,336,5,1.4880952380952381,NA,NA,NA,Null
Garrett,51,0,0,NA,NA,NA,Null
Harford,272,2,0.7352941176470589,NA,NA,NA,Null
Howard,406,1,0.24630541871921183,NA,NA,NA,Null
Kent,24,0,0,NA,NA,NA,Null
Montgomery,1244,2,0.1607717041800643,NA,NA,NA,Null
Prince george's,1812,10,0.5518763796909493,NA,NA,NA,Null
Queen anne's,75,1,1.3333333333333333,NA,NA,NA,Null
Somerset,26,1,3.8461538461538463,NA,NA,NA,Null
St. mary's,162,2,1.2345679012345678,NA,NA,NA,Null
Talbot,64,0,0,NA,NA,NA,Null
Washington,212,1,0.4716981132075472,NA,NA,NA,Null
Wicomico,193,2,1.0362694300518134,NA,NA,NA,Null
Worcester,133,1,0.7518796992481203,NA,NA,NA,Null
