countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Alcona,42,0,0,NA,NA,NA,Null
Alger,12,1,8.333333333333334,NA,NA,NA,Null
Allegan,273,1,0.3663003663003663,NA,NA,NA,Null
Alpena,58,0,0,NA,NA,NA,Null
Antrim,46,0,0,NA,NA,NA,Null
Arenac,63,1,1.5873015873015872,NA,NA,NA,Null
Baraga,20,0,0,NA,NA,NA,Null
Barry,100,2,2,NA,NA,NA,Null
Bay,288,0,0,NA,NA,NA,Null
Benzie,26,0,0,NA,NA,NA,Null
Berrien,363,3,0.8264462809917356,NA,NA,NA,Null
Branch,152,0,0,NA,NA,NA,Null
Calhoun,355,4,1.1267605633802817,NA,NA,NA,Null
Cass,81,0,0,NA,NA,NA,Null
Charlevoix,62,1,1.6129032258064515,NA,NA,NA,Null
Cheboygan,56,0,0,NA,NA,NA,Null
Chippewa,50,0,0,NA,NA,NA,Null
Clare,87,0,0,NA,NA,NA,Null
Clinton,165,1,0.6060606060606061,NA,NA,NA,Null
Crawford,38,0,0,NA,NA,NA,Null
Delta,80,0,0,NA,NA,NA,Null
Dickinson,57,0,0,NA,NA,NA,Null
Eaton,245,2,0.8163265306122449,NA,NA,NA,Null
Emmet,67,0,0,NA,NA,NA,Null
Genesee,798,3,0.37593984962406013,NA,NA,NA,Null
Gladwin,46,0,0,NA,NA,NA,Null
Gogebic,13,1,7.6923076923076925,NA,NA,NA,Null
Grand traverse,265,0,0,NA,NA,NA,Null
Gratiot,113,1,0.8849557522123894,NA,NA,NA,Null
Hillsdale,120,2,1.6666666666666667,NA,NA,NA,Null
Houghton,49,0,0,NA,NA,NA,Null
Ingham,671,1,0.14903129657228018,NA,NA,NA,Null
Ionia,136,0,0,NA,NA,NA,Null
Iosco,47,0,0,NA,NA,NA,Null
Iron,20,0,0,NA,NA,NA,Null
Isabella,170,0,0,NA,NA,NA,Null
Jackson,393,1,0.2544529262086514,NA,NA,NA,Null
Kalamazoo,639,0,0,NA,NA,NA,Null
Kalkaska,26,1,3.8461538461538463,NA,NA,NA,Null
Kent,NA,4,NA,NA,NA,NA,Null
Lake,23,2,8.695652173913043,NA,NA,NA,Null
Lapeer,216,1,0.46296296296296297,NA,NA,NA,Null
Leelanau,46,1,2.1739130434782608,NA,NA,NA,Null
Lenawee,186,2,1.075268817204301,NA,NA,NA,Null
Livingston,426,0,0,NA,NA,NA,Null
Mackinac,30,0,0,NA,NA,NA,Null
Macomb,NA,4,NA,NA,NA,NA,Null
Manistee,72,0,0,NA,NA,NA,Null
Marquette,120,1,0.8333333333333334,NA,NA,NA,Null
Mason,91,0,0,NA,NA,NA,Null
Mecosta,120,0,0,NA,NA,NA,Null
Menominee,32,1,3.125,NA,NA,NA,Null
Midland,187,0,0,NA,NA,NA,Null
Missaukee,44,0,0,NA,NA,NA,Null
Monroe,274,0,0,NA,NA,NA,Null
Montcalm,142,1,0.704225352112676,NA,NA,NA,Null
Muskegon,334,4,1.1976047904191616,NA,NA,NA,Null
Newaygo,105,2,1.9047619047619047,NA,NA,NA,Null
Oakland,NA,2,NA,NA,NA,NA,Null
Oceana,67,1,1.492537313432836,NA,NA,NA,Null
Ogemaw,47,0,0,NA,NA,NA,Null
Ontonagon,18,0,0,NA,NA,NA,Null
Osceola,78,1,1.2820512820512822,NA,NA,NA,Null
Oscoda,10,0,0,NA,NA,NA,Null
Otsego,60,0,0,NA,NA,NA,Null
Ottawa,678,1,0.14749262536873156,NA,NA,NA,Null
Presque isle,19,0,0,NA,NA,NA,Null
Roscommon,57,1,1.7543859649122806,NA,NA,NA,Null
Saginaw,430,4,0.9302325581395349,NA,NA,NA,Null
Sanilac,123,0,0,NA,NA,NA,Null
Schoolcraft,27,0,0,NA,NA,NA,Null
Shiawassee,183,0,0,NA,NA,NA,Null
St. clair,261,1,0.3831417624521073,NA,NA,NA,Null
St. joseph,123,0,0,NA,NA,NA,Null
Tuscola,110,0,0,NA,NA,NA,Null
Van buren,151,1,0.6622516556291391,NA,NA,NA,Null
Washtenaw,847,1,0.1180637544273908,NA,NA,NA,Null
Wayne,NA,19,NA,NA,NA,NA,Null
Wexford,83,0,0,NA,NA,NA,Null
