countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Beaver,42,1,2.380952380952381,8,0,0,Null
Box elder,102,3,2.9411764705882355,54,0,0,Null
Cache,156,0,0,136,0,0,Null
Carbon,41,1,2.4390243902439024,24,1,4.166666666666667,70.8333333333334
Daggett,1,0,0,2,0,0,Null
Davis,620,0,0,339,2,0.5899705014749262,Null
Duchesne,27,0,0,24,0,0,Null
Emery,45,1,2.2222222222222223,15,0,0,Null
Garfield,28,0,0,11,0,0,Null
Grand,49,1,2.0408163265306123,16,0,0,Null
Iron,81,0,0,41,1,2.4390243902439024,Null
Juab,34,2,5.882352941176471,20,1,5,-15
Kane,19,0,0,16,0,0,Null
Millard,43,0,0,15,1,6.666666666666667,Null
Morgan,22,0,0,8,0,0,Null
Piute,1,0,0,2,0,0,Null
Rich,11,0,0,6,0,0,Null
Salt lake,2603,1,0.0384172109104879,1422,7,0.49226441631504925,1181.36427566807
San juan,31,1,3.225806451612903,16,1,6.25,93.75
Sanpete,32,1,3.125,26,0,0,Null
Sevier,40,0,0,20,0,0,Null
Summit,83,1,1.2048192771084338,12,0,0,Null
Tooele,118,1,0.847457627118644,84,0,0,Null
Uintah,60,0,0,35,1,2.857142857142857,Null
Utah,877,2,0.22805017103762829,592,5,0.8445945945945946,270.35472972973
Wasatch,70,2,2.857142857142857,20,0,0,Null
Washington,251,1,0.398406374501992,208,3,1.4423076923076923,262.019230769231
Wayne,7,0,0,1,0,0,Null
Weber,370,3,0.8108108108108109,306,5,1.6339869281045751,101.525054466231
