countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Alcona,42,0,0,NA,NA,NA,
Alger,12,1,8.333333333333334,NA,NA,NA,
Allegan,273,1,0.3663003663003663,NA,NA,NA,
Alpena,58,0,0,NA,NA,NA,
Antrim,46,0,0,NA,NA,NA,
Arenac,63,1,1.5873015873015872,NA,NA,NA,
Baraga,20,0,0,NA,NA,NA,
Barry,100,2,2,NA,NA,NA,
Bay,288,0,0,NA,NA,NA,
Benzie,26,0,0,NA,NA,NA,
Berrien,363,3,0.8264462809917356,NA,NA,NA,
Branch,152,0,0,NA,NA,NA,
Calhoun,355,4,1.1267605633802817,NA,NA,NA,
Cass,81,0,0,NA,NA,NA,
Charlevoix,62,1,1.6129032258064515,NA,NA,NA,
Cheboygan,56,0,0,NA,NA,NA,
Chippewa,50,0,0,NA,NA,NA,
Clare,87,0,0,NA,NA,NA,
Clinton,165,1,0.6060606060606061,NA,NA,NA,
Crawford,38,0,0,NA,NA,NA,
Delta,80,0,0,NA,NA,NA,
Dickinson,57,0,0,NA,NA,NA,
Eaton,245,2,0.8163265306122449,NA,NA,NA,
Emmet,67,0,0,NA,NA,NA,
Genesee,798,3,0.37593984962406013,NA,NA,NA,
Gladwin,46,0,0,NA,NA,NA,
Gogebic,13,1,7.6923076923076925,NA,NA,NA,
Grand traverse,265,0,0,NA,NA,NA,
Gratiot,113,1,0.8849557522123894,NA,NA,NA,
Hillsdale,120,2,1.6666666666666667,NA,NA,NA,
Houghton,49,0,0,NA,NA,NA,
Ingham,671,1,0.14903129657228018,NA,NA,NA,
Ionia,136,0,0,NA,NA,NA,
Iosco,47,0,0,NA,NA,NA,
Iron,20,0,0,NA,NA,NA,
Isabella,170,0,0,NA,NA,NA,
Jackson,393,1,0.2544529262086514,NA,NA,NA,
Kalamazoo,639,0,0,NA,NA,NA,
Kalkaska,26,1,3.8461538461538463,NA,NA,NA,
Kent,NA,4,NA,NA,NA,NA,
Lake,23,2,8.695652173913043,NA,NA,NA,
Lapeer,216,1,0.46296296296296297,NA,NA,NA,
Leelanau,46,1,2.1739130434782608,NA,NA,NA,
Lenawee,186,2,1.075268817204301,NA,NA,NA,
Livingston,426,0,0,NA,NA,NA,
Mackinac,30,0,0,NA,NA,NA,
Macomb,NA,4,NA,NA,NA,NA,
Manistee,72,0,0,NA,NA,NA,
Marquette,120,1,0.8333333333333334,NA,NA,NA,
Mason,91,0,0,NA,NA,NA,
Mecosta,120,0,0,NA,NA,NA,
Menominee,32,1,3.125,NA,NA,NA,
Midland,187,0,0,NA,NA,NA,
Missaukee,44,0,0,NA,NA,NA,
Monroe,274,0,0,NA,NA,NA,
Montcalm,142,1,0.704225352112676,NA,NA,NA,
Muskegon,334,4,1.1976047904191616,NA,NA,NA,
Newaygo,105,2,1.9047619047619047,NA,NA,NA,
Oakland,NA,2,NA,NA,NA,NA,
Oceana,67,1,1.492537313432836,NA,NA,NA,
Ogemaw,47,0,0,NA,NA,NA,
Ontonagon,18,0,0,NA,NA,NA,
Osceola,78,1,1.2820512820512822,NA,NA,NA,
Oscoda,10,0,0,NA,NA,NA,
Otsego,60,0,0,NA,NA,NA,
Ottawa,678,1,0.14749262536873156,NA,NA,NA,
Presque isle,19,0,0,NA,NA,NA,
Roscommon,57,1,1.7543859649122806,NA,NA,NA,
Saginaw,430,4,0.9302325581395349,NA,NA,NA,
Sanilac,123,0,0,NA,NA,NA,
Schoolcraft,27,0,0,NA,NA,NA,
Shiawassee,183,0,0,NA,NA,NA,
St. clair,261,1,0.3831417624521073,NA,NA,NA,
St. joseph,123,0,0,NA,NA,NA,
Tuscola,110,0,0,NA,NA,NA,
Van buren,151,1,0.6622516556291391,NA,NA,NA,
Washtenaw,847,1,0.1180637544273908,NA,NA,NA,
Wayne,NA,19,NA,NA,NA,NA,
Wexford,83,0,0,NA,NA,NA,
