countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Adams,41,1,2.4390243902439024,26,0,0,
Asotin,18,0,0,17,0,0,
Benton,386,1,0.25906735751295334,235,2,0.851063829787234,228.510638297872
Chelan,142,1,0.704225352112676,75,1,1.3333333333333333,89.3333333333333
Clallam,99,1,1.0101010101010102,66,0,0,
Clark,537,1,0.186219739292365,361,0,0,
Columbia,9,0,0,5,0,0,
Cowlitz,181,3,1.6574585635359116,110,0,0,
Douglas,65,0,0,26,0,0,
Ferry,11,0,0,9,0,0,
Franklin,122,0,0,100,0,0,
Garfield,4,2,50,4,0,0,
Grant,159,0,0,120,1,0.8333333333333334,
Grays harbor,128,0,0,103,1,0.970873786407767,
Island,84,0,0,39,1,2.5641025641025643,
Jefferson,45,2,4.444444444444445,29,0,0,
King,4546,9,0.1979762428508579,2098,13,0.6196377502383222,212.985912509268
Kitsap,335,0,0,210,3,1.4285714285714286,
Kittitas,134,0,0,86,0,0,
Klickitat,29,0,0,26,0,0,
Lewis,130,0,0,112,2,1.7857142857142858,
Lincoln,13,0,0,15,0,0,
Mason,79,1,1.2658227848101267,70,0,0,
Okanogan,38,1,2.6315789473684212,31,0,0,
Pacific,31,0,0,18,1,5.555555555555555,
Pend oreille,7,0,0,9,0,0,
Pierce,1605,9,0.5607476635514018,1018,10,0.9823182711198428,75.1800916830387
San juan,15,0,0,4,0,0,
Skagit,300,0,0,139,4,2.8776978417266186,
Skamania,13,0,0,10,1,10,
Snohomish,1517,8,0.5273566249176005,846,2,0.2364066193853428,-55.1713947990544
Spokane,904,4,0.4424778761061947,601,4,0.6655574043261231,50.4159733777038
Stevens,32,0,0,40,2,5,
Thurston,520,2,0.38461538461538464,245,4,1.6326530612244898,324.489795918367
Wahkiakum,6,0,0,3,0,0,
Walla walla,113,0,0,82,0,0,
Whatcom,369,3,0.8130081300813008,169,0,0,
Whitman,49,0,0,33,0,0,
Yakima,399,2,0.5012531328320802,303,1,0.33003300330033003,-34.1584158415842
